CD4_Naïve,CD56_dim_NK,CD8_Term_Eff,CD8_GZMK_Exh,CD8_EM,CD8_Naïve,NKT,CD4_CM,MAIT,Tregs,CD56_Bright_NK
INPP4B,PTGDS,GZMH,GZMK,GZMH,NELL2,AC002316.1,LTB,KLRB1,IKZF2,CCL3
LTB,TRGC2,SGCD,CCL4,CCL5,THEMIS,BNC2,AL136456.1,SLC4A10,RTKN2,XCL1
ANK3,FGFBP2,NKG7,DUSP2,GZMK,SIK3,FNDC3B,IL7R,GZMK,STAM,TYROBP
SERINC5,TRDC,CD8A,RGS1,LYAR,LINC01619,MCTP2,FRY,IL7R,PLCL1,XCL2
ADAM19,GNLY,CCL5,CMC1,GZMA,GZMK,JAZF1,AC079793.1,PHACTR2,CASK,FCER1G
SLC2A3,GZMB,FGFBP2,CCL5,S100A4,ATXN1,TGFBR3,ADAM19,NFKBIA,LDLRAD4,PLCG2
IL7R,NKG7,ZEB2,CRTAM,DUSP2,IL21R,AOAH,PTPN13,JUN,ARID5B,IL2RB
CDC14A,GZMH,CD8B,CD8A,IL32,PARP8,CD247,BCL2,FOS,TAFA2,ATP8B4
FAAH2,PRF1,LGALS1,CD8B,SH3BGRL3,WWOX,PLCB1,VIM,TNFAIP3,PELI1,GNLY
ARHGAP15,CST7,PLEK,CD74,NKG7,CBLB,ZEB2,RORA-AS1,CD69,CTLA4,KLRC1
PAG1,ADGRG1,C1orf21,HLA-DRB1,S100A10,GGA2,C1orf21,AQP3,DUSP1,SGMS1,CMC1
SAMSN1,EFHD2,THEMIS,TUBA4A,HLA-DPB1,PDE3B,SYNE1,LINC00513,ME1,TTN,KLRF1
ICOS,KLRD1,C12orf75,XCL2,CD52,P2RY8,CTBP2,GAS5,CEBPD,ICOS,NCAM1
PRKCA,CCL5,SH3BGRL3,H3-3B,HCST,PPP1R16B,ARHGAP26,TTC39C,PLCB1,IL2RA,CD7
ITGB1,FCGR3A,CST7,CXCR4,CD8A,TC2N,NCALD,RORA,PTPRM,SESN3,CCL4
JUNB,PRSS23,GZMA,IFRD1,CD8B,NIBAN1,PPP2R2B,RPLP0,IL4I1,TBC1D4,AREG
AC079793.1,SPON2,GNLY,JUN,B2M,PDE4B,MTSS1,TNFAIP3,RUNX2,DUSP16,CD160
TSHZ2,CYBA,S100A4,DUSP1,CD81,ATP1B3,NCAM1,SNHG29,TEX14,LEF1,TRDC
CAMK4,ZEB2,SYNE1,JUND,HLA-B,CASK,LYN,SOS1,LTB,RGS1,NFKBIA
CRYBG1,GZMA,MALAT1,NR4A2,CD3D,NR3C2,PPM1L,CDC14A,DPP4,SMCHD1,KLRD1
GNAQ,AGAP1,HLA-DPB1,SRSF7,HLA-DPA1,ANK3,PRKCH,PAG1,TTC39C,NIBAN1,KLRB1
ZFP36L2,CX3CR1,FLNA,TSPYL2,LGALS1,EML4,PDGFD,MAP3K4,ABCB1,DUSP4,IER2
ZNF331,DSTN,CD52,ZFP36,GZMM,RNF19A,VAV3,INPP4B,IER5,SAMHD1,CD63
VIM,HOPX,TGFBR3,GZMA,HLA-C,ARHGAP26,EIF4G3,RBMS1,DUSP2,MAP3K1,MAP3K8
GPR183,MTSS1,CD3G,HLA-DPB1,S100A6,PCNX2,STK39,AC010197.2,IER2,CD28,CTSW
NELL2,TYROBP,EFHD2,SH2D1A,CD99,PAM,AGAP1,PVT1,IL12RB2,USP15,IFITM2
CSGALNACT1,CTSW,PPP2R2B,FOSB,CST7,ITGA4,UTRN,PDE4D,NCR3,TOX,FOS
FOS,FLNA,RABGAP1L,HCST,RPS3,SKI,PTPRJ,LINC01619,ERN1,TTC39C,IL12RB2
SESN3,C1orf21,ADGRG1,DNAJB1,TRAC,EPHA4,HIVEP3,SNHG5,FOSB,CEP128,GSTP1
RGCC,CD247,CD99,SRGN,FTL,LINC01934,RABGAP1L,RUNX2,ID2,CCDC141,CLIC3
RCAN3,PLEK,FCRL6,LYST,RPL36AL,PITPNC1,TOX,LGALS3,COLQ,BACH1,DUSP1
TNFAIP3,TGFBR3,CD3D,HLA-DPA1,CD2,ZSWIM6,ZFAND3,MGAT5,NFKB1,SNX9,SRGN
PABPC1,ASCL2,KLRD1,GZMM,RPS27,ELL2,MYO1F,MAL,JAML,CCM2,MATK
TIAM1,SYNE1,A2M,CD160,CD3E,AC079793.1,AUTS2,SAMD12,CXCR4,TIGIT,DUSP2
CD69,HCST,HLA-DPA1,ZNF331,TRBC1,PLCB1,FAM49B,RCAN3,ATF7IP2,ZEB1,HOPX
NR3C1,SAMD3,ITGB1,YPEL5,GAPDH,FYN,PTPN12,SNHG6,BTG2,SNED1,IFITM3
PATJ,C12orf75,SAMD3,IL32,C12orf75,PLEKHA2,NFATC2,SNX9,PPP1R15A,BIRC3,MCTP2
CD28,AC116366.3,CX3CR1,CST7,CD3G,ATP8A1,L3MBTL4,RPSA,AQP3,F5,TXK
ETV6,ITGB2,IL32,H1-2,HLA-A,AKT3,ZBTB16,ARHGAP15,ZFP36L1,TIAM1,AC005747.1
COTL1,ABHD17A,DNAJC1,CD69,EMP3,CD6,SRPK2,MAP3K1,TC2N,TRAC,MAFF
BCL2,CTBP2,GZMM,NR4A3,RPL41,GTDC1,CHST11,SERINC5,EML4,FOXP3,KCNQ5
AP3M2,S100A4,APOBEC3G,LYAR,OAZ1,SLC7A5,ARL15,TPT1,RORA,RCAN3,ZFP36
EML4,LGALS1,MYO1F,BTG1,RPS19,LRIG1,FOXN3,SNHG8,KLRG1,RHOH,IFRD1
CMTM8,MT2A,CTSC,IER2,CLIC1,PRKCB,NFATC3,ERN1,BTBD11,SAMSN1,NKG7
AC010197.2,AK5,CMC1,CD81,CMC1,CNOT6L,TFDP2,ZFAS1,PARP8,ADK,CEBPD
BIRC3,APOBEC3G,HCST,RNF19A,RPL35,TPRG1,PIP4K2A,MB21D2,SPOCK2,EZR,AOAH
MAP3K1,IFITM2,GGA2,TENT5C,GUK1,ARHGAP15,LPP,EEF1A1,ZBTB16,ATP2B1,CXXC5
LEF1,MYO1F,S100A6,TIGIT,CXCR4,BTBD9,AL159141.1,RPLP1,PBX4,ATXN7L1,GZMK
FTH1,SYTL2,HIVEP3,BTG2,SSR4,KLF12,CMIP,FOS,GPR65,LRIG1,NFKB1
TTC39C,GZMM,AGAP1,EIF1,ATP5F1E,SLC38A1,ATP8A1,NEAT1,CERK,PHACTR2,EIF3G